ID,Attribute,Artist,Album Name,Price,Spec,Goodness,Condition,Category,Year
ADDED
R00126315,Vinyl,1910 FRUITGUM COMPANY,Simon Says,$10.50,BDS 5010,Near Mint (NM or M-),Sleeve Condition,Near Mint (NM or M-),1968
R00126272,Vinyl,AARON DAVIES,Neon Blue,$5.00,moulp v 46,Very Good Plus (VG+),Sleeve Condition,Near Mint (NM or M-)
00120929,Vinyl,AL JOLSON,The World's Greatest Entertainer,$12,DL 9074,Good Plus (G+),Sleeve Condition,Good (G),1959
R00126304,Vinyl,ARETHA FRANKLIN,Who's Zoomin' Who?,$4.5,AL8-8286,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1985
R00126251,Vinyl,AWAKE THE ECHOES,Normal Life,$11.00,mrl-8002,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+)
00120933,Vinyl,BARBRA STREISAND,The Third Album,$12,KCS 8954,Very Good Plus (VG+),Sleeve Condition,Good Plus (G+),1964
00120934,Vinyl,BARBRA STREISAND,The Barbra Streisand Album,$12,CS 8807,Near Mint (NM or M-),Sleeve Condition,Good Plus (G+),1963
R00123236,Vinyl,BARCLAY JAMES HARVEST,Everyone Is Everybody Else,$8, 2383 286 ,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1974
R00126335,Vinyl,BEETHOVEN JOSEF KRIPS,Overtures,$4.00,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+)
R00122149,Vinyl,BILL BLACK'S COMBO,Let's Twist Her,$10,HL 12006,Very Good Plus (VG+),Sleeve Condition,Good (G),1962
00034294,Vinyl,BILL DOGGETT,Prelude To The Blues,$7,CL 1942,Good (G),Sleeve Condition,Very Good (VG),1963
00120202,Vinyl,BILLY JOEL,Glass Houses,$10.5,FC 36384,Near Mint (NM or M-),Sleeve Condition,Very Good (VG),1980
R00126318,Vinyl,BILLY REED AND THE STREET PEOPLE,Billy Reed And The Street People,$8.00,PEC 90539,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+)
R00126249,Vinyl,BIM,Kid Full Of Dreams,$5.5,CA 1007,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1975
R00123804,Vinyl,BIX BEIDERBECKE,The Bix Beiderbecke Story / Volume 2,$6,CL 845,Very Good (VG),Sleeve Condition,Very Good (VG),1956
R00126320,Vinyl,BLUE SWEDE,Out Of The Blue,$6.,ST-11346,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1975
R00126314,Vinyl,BO DIDDLEY,Bo Diddley's 16 All-Time Greatest Hits,$13.50,9034-2989,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+)
00054213,Vinyl,BOB DYLAN,Bob Dylan,$16.00,KCS 8579,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1975
R00126133,Vinyl,BOB DYLAN,Empire Burlesque,$8.00,FC 40110,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1985
R00126243,Vinyl,BOB DYLAN,Slow Train Coming,$8.00,FC 36120,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1979
00033317,Vinyl,BOB KEESHAN,Captain Kangaroos Tv Party,$6,HL 9508,Fair (F),Sleeve Condition,Very Good Plus (VG+),1961
00049134,Vinyl,BOBBY HELMS,Sings To My Special Angel,$12,DL 8638,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1957
00029993,Vinyl,BOBBY VEE,Bobby Vee Meets The Ventures,$14,LRP-3289,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1963
R00126311,Vinyl,BODY ELECTRIC,Two Worlds,$7.00,MIN-101,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1985
R00126312,Vinyl,BODY ELECTRIC,Walking Through Walls,$4.50,POR 0133BE,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1987
R00126313,Vinyl,BODY ELECTRIC,Body Electric,$6.50,LAT 1194,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1984
R00120992,Vinyl,BONEY M,Nightflight To Venus,$9.00,KSD 50498,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1978
R00122165,Vinyl,BOOTS RANDOLPH,The Yakin' Sax Man,$4,CAL 825,Near Mint (NM or M-),Sleeve Condition,Near Mint (NM or M-),1964
R00121685,Vinyl,BRENDA LEE,All Alone Am I,$6,DL 74370,Very Good Plus (VG+),Sleeve Condition,Good (G),1963
00037284,Vinyl,BUDDY KNOX,Buddy Knox And Jimmy Bowen,$15,R-25048,Good Plus (G+),Sleeve Condition,Good (G),1959
R00126270,Vinyl,CANO,Eclipse,$4.50,SP 9033,Very Good Plus (VG+),Sleeve Condition,Good Plus (G+),1978
R00126308,Vinyl,CANO,Rendezvous,$4.75,SP-9037,Very Good (VG),Sleeve Condition,Very Good (VG),1979
R00121151,Vinyl,CARMEN DRAGON,An Evening With Sigmund Romberg,$8,S-37309,Very Good (VG),Sleeve Condition,Good Plus (G+),1962
00118024,Vinyl,CAT STEVENS,Tea For The Tillerman,$4.50,SP-4280,Good Plus (G+),Sleeve Condition,Good Plus (G+),1970
R00126333,Vinyl,CHARLEY PRIDE,Charley's Best,$5.5,TA-1034,Near Mint (NM or M-),Sleeve Condition,Very Good (VG),1976
00022965,Vinyl,CHARLIE KUNZ,The Songs We Sang,$12,ACL 7915,Near Mint (NM or M-),Sleeve Condition,Near Mint (NM or M-),1961
R00122383,Vinyl,CHARLIE PARKER,Charlie Parker Memorial Volume 4,$14,M 52123,Near Mint (NM or M-),Sleeve Condition,Very Good (VG),1963
R00123616,Vinyl,CHRIS DE BURGH,Flying Colours,$5.00,SP 5224,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1988
R00121259,Vinyl,CHRISTOPHER CROSS,Christopher Cross,$7,QBS 3383,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1979
